목적+적용시점,패키지, 패키지 월납요금 ,1년,36개월,폐업보험 환급율,케어 서비스,POS,키오스크,CCTV,전화,인터넷, IPTV , 시큐리티보험
"- 케어온에게 실제 현금흐름
- 고객에게 합리적인 조건
- 지속가능한 비즈니스모델",스타트케어 패키지 미니," ₩ 45,000 "," ₩ 540,000 "," ₩ 1,620,000 ",100%,"셀프 설치
+
매뉴얼 제공",갤럭시탭,토스 프론트, KT AI CCTV 1대,매장 인터넷전화,100M, 없음 ,없음
"- 단기 현금흐름 극대화
- 올해 안에 매출 3억에 근접한 매출 볼륨 형성","스타트케어 패키지
(1년 무료 체험단 ENENT)"," ₩ 78,000 "," ₩ 936,000 "," ₩ 2,808,000 ","90%
(인데, 100%해드림)","출장 무료설치
+
배달의민족
+ 
네이버 세팅",갤럭시탭+토스터미널,토스프론트,KT AI CCTV 4대,매장 인터넷전화,"SK B
기가라이트 500M 초고속인터넷", 없음 ,한화시큐리티보험 안심커버300 1Z
,스타트케어 패키지 PRO," ₩ 94,500 "," ₩ 1,134,000 "," ₩ 3,402,000 ",100%,"출장 무료설치
+
배달의민족
+ 
네이버 세팅",갤럭시탭+토스터미널,토스프론트,KT AI CCTV 6대,매장 인터넷전화,"SK B
기가 1G 초고속인터넷", 삼탠바이미 ,한화시큐리티보험 안심커버1000 1E
,,,,,,,,,,,,,
,,,,,,,,,,인원 입력,총매출,총순익,
,,,,인터넷요금,CCTV월납,,,,,100," ₩ 99,400,000 ",5800000,
,,,,33000," ₩ 45,000 ",,,,,, ₩ -   ,,
,,,,41800," ₩ 36,200 ",,,,,,,,
,,,,인터넷사,CCTV사,,순마진,,,,,,
,,,월요금,430000,564000,994000," ₩ 58,000 ",,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,인터넷요금,CCTV월납,월납 계,,,,,,,
,,,월요금,22000,23000,45000,,,,,,,
